                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1848,                0.94581,                0.87937,                0.89666,                0.43252,                0.48588,                0.28348,                 1.2297,                0.81128,                0.90142,              0.0005553,              0.0005553,              0.0005553
                      2,                 1.1374,                0.64961,                0.86518,                0.81246,                0.45021,                0.49608,                0.29632,                 1.1612,                0.71403,                0.89612,               0.001089,               0.001089,               0.001089
                      3,                 1.1088,                0.59702,                0.86107,                 0.7365,                0.53243,                0.53837,                0.33975,                 1.0278,                0.60318,                0.86978,              0.0016006,              0.0016006,              0.0016006
                      4,                 1.0818,                0.57591,                0.85778,                0.87482,                0.42529,                0.47264,                0.27828,                 1.1712,                0.72763,                0.92408,               0.001568,               0.001568,               0.001568
                      5,                  1.033,                0.54014,                0.84979,                0.89533,                0.41032,                0.46834,                0.25199,                 1.3332,                0.79474,                 1.0076,               0.001535,               0.001535,               0.001535
                      6,                 1.0134,                0.52445,                0.84741,                0.67532,                0.53774,                0.51533,                0.31921,                 1.0761,                0.62476,                0.89245,               0.001502,               0.001502,               0.001502
                      7,                0.97976,                0.50708,                0.84004,                0.87123,                0.44775,                0.50264,                0.29053,                 1.2316,                0.67405,                0.92178,               0.001469,               0.001469,               0.001469
                      8,                0.96202,                0.49171,                0.83634,                0.77904,                 0.5315,                 0.5371,                0.32409,                 1.1365,                0.58288,                0.89062,               0.001436,               0.001436,               0.001436
                      9,                0.93418,                0.48184,                0.83136,                0.67211,                0.55177,                0.55364,                 0.3423,                  1.044,                0.58456,                0.88015,              0.0014029,              0.0014029,              0.0014029
                     10,                0.91474,                0.46648,                0.82817,                0.79017,                0.53473,                0.54238,                0.35323,                0.99634,                0.53419,                0.86414,              0.0013699,              0.0013699,              0.0013699
                     11,                  0.897,                0.45795,                 0.8274,                0.57687,                0.52981,                0.53386,                0.33928,                 1.0463,                0.54544,                0.87542,              0.0013369,              0.0013369,              0.0013369
                     12,                0.89741,                0.45414,                0.82602,                0.65701,                0.55042,                0.54946,                0.35072,                 1.0316,                0.58748,                0.88839,              0.0013039,              0.0013039,              0.0013039
                     13,                0.88383,                0.44751,                 0.8252,                0.72674,                0.53831,                0.54769,                0.36055,                 1.0069,                0.54526,                0.86982,              0.0012709,              0.0012709,              0.0012709
                     14,                0.88105,                0.44339,                0.82358,                0.73512,                 0.5531,                0.56778,                0.36701,                 1.0272,                0.53218,                0.88382,              0.0012379,              0.0012379,              0.0012379
                     15,                0.85673,                0.43331,                0.82153,                0.86399,                0.52394,                0.56914,                0.37825,                0.95118,                0.52397,                0.85848,              0.0012049,              0.0012049,              0.0012049
                     16,                0.84859,                0.42829,                0.81915,                0.79181,                0.55758,                0.58417,                0.40542,                0.87145,                0.46147,                0.83803,              0.0011719,              0.0011719,              0.0011719
                     17,                0.83725,                0.42478,                0.81813,                0.77443,                0.55712,                0.58742,                0.38976,                0.94388,                0.51292,                0.86433,              0.0011389,              0.0011389,              0.0011389
                     18,                0.83386,                0.42091,                0.81735,                0.80655,                0.55928,                0.59497,                0.39732,                0.93197,                0.48982,                0.85927,              0.0011059,              0.0011059,              0.0011059
                     19,                0.82669,                0.41825,                0.81686,                0.79284,                0.56193,                0.59169,                0.39941,                 0.9152,                0.48441,                0.85352,              0.0010729,              0.0010729,              0.0010729
                     20,                0.81962,                0.41518,                0.81476,                0.70926,                 0.5666,                0.57651,                0.37485,                 1.0102,                0.53151,                0.87694,              0.0010399,              0.0010399,              0.0010399
                     21,                0.80601,                0.40675,                0.81334,                 0.8102,                0.54249,                0.57344,                0.38585,                0.96316,                 0.5021,                0.86332,              0.0010069,              0.0010069,              0.0010069
                     22,                0.79824,                0.40317,                0.81267,                0.75548,                0.56103,                0.58168,                0.38973,                0.91737,                0.48454,                 0.8499,             0.00097386,             0.00097386,             0.00097386
                     23,                  0.797,                0.40337,                0.81136,                0.81213,                 0.5769,                0.60013,                  0.419,                0.86592,                0.44477,                0.84022,             0.00094085,             0.00094085,             0.00094085
                     24,                0.78583,                0.39637,                0.81103,                0.79143,                0.56521,                0.59043,                0.39047,                0.94797,                0.49218,                0.86245,             0.00090785,             0.00090785,             0.00090785
                     25,                 0.7767,                0.39315,                0.80926,                0.80805,                0.55209,                0.58939,                0.40044,                 0.9081,                0.47736,                0.85116,             0.00087484,             0.00087484,             0.00087484
                     26,                0.78162,                 0.3899,                0.81027,                 0.7166,                0.58604,                0.59532,                 0.4187,                 0.8384,                0.43909,                0.83687,             0.00084184,             0.00084184,             0.00084184
                     27,                0.78038,                0.38636,                0.80914,                0.69638,                0.56174,                0.57351,                0.36378,                 1.0739,                0.55257,                0.88961,             0.00080883,             0.00080883,             0.00080883
                     28,                0.77619,                0.38416,                0.80845,                0.73919,                 0.5625,                0.58322,                  0.386,                0.98083,                0.49475,                0.86062,             0.00077582,             0.00077582,             0.00077582
                     29,                0.75629,                0.37927,                0.80659,                0.72233,                0.54121,                0.56729,                0.33332,                 1.2268,                0.61581,                0.95303,             0.00074282,             0.00074282,             0.00074282
                     30,                0.75584,                0.37543,                0.80551,                0.67863,                0.55441,                0.56616,                0.34684,                 1.1287,                0.56591,                0.90981,             0.00070981,             0.00070981,             0.00070981
                     31,                0.76403,                0.37935,                0.80589,                0.72379,                0.56878,                0.58517,                0.37196,                  1.068,                0.53494,                0.88774,              0.0006768,              0.0006768,              0.0006768
                     32,                0.76375,                0.37722,                 0.8081,                0.80417,                0.49681,                0.55261,                 0.3113,                 1.3215,                0.65955,                 1.0045,              0.0006438,              0.0006438,              0.0006438
                     33,                0.76794,                0.37779,                0.80849,                0.74437,                0.56496,                0.58855,                0.36807,                  1.061,                0.55469,                0.88742,             0.00061079,             0.00061079,             0.00061079
                     34,                0.75658,                0.37307,                0.80744,                 0.7067,                0.57447,                0.59278,                0.38903,                0.96289,                0.50916,                0.86579,             0.00057778,             0.00057778,             0.00057778
                     35,                0.73282,                0.36475,                 0.8045,                0.73005,                0.54703,                0.57796,                0.35352,                 1.1177,                0.56935,                0.89684,             0.00054478,             0.00054478,             0.00054478
                     36,                0.70222,                0.39269,                0.84807,                0.86203,                0.64932,                0.69386,                0.46837,                0.86528,                0.54795,                 0.9099,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.6524,                0.35291,                 0.8281,                0.82683,                0.66579,                 0.7016,                0.47187,                 0.8624,                0.57173,                0.92587,             0.00047876,             0.00047876,             0.00047876
                     38,                0.64037,                0.34389,                0.82287,                  0.849,                0.64911,                 0.6974,                 0.4593,                 0.8975,                0.59361,                0.93612,             0.00044576,             0.00044576,             0.00044576
                     39,                0.62487,                0.33453,                0.81997,                  0.857,                0.66382,                0.71372,                0.47562,                0.90106,                0.57027,                0.93043,             0.00041275,             0.00041275,             0.00041275
                     40,                0.62721,                0.33138,                0.81816,                0.82545,                0.64551,                0.69188,                0.44465,                 1.0198,                0.70294,                 1.0409,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.6202,                0.32716,                0.81709,                0.85022,                 0.6631,                0.71177,                0.49353,                 0.8313,                0.54292,                0.90606,             0.00034674,             0.00034674,             0.00034674
                     42,                0.62056,                0.32488,                 0.8163,                0.88113,                0.67583,                0.72893,                0.52089,                 0.7137,                0.43468,                0.85537,             0.00031373,             0.00031373,             0.00031373
                     43,                0.61066,                0.31978,                0.81401,                0.87127,                0.66644,                0.72129,                0.52935,                0.68105,                0.41485,                0.84718,             0.00028072,             0.00028072,             0.00028072
                     44,                0.59869,                0.31321,                0.81324,                0.89174,                0.68706,                0.73435,                0.54233,                 0.6403,                0.38459,                0.83686,             0.00024772,             0.00024772,             0.00024772
                     45,                0.58883,                0.30862,                0.81102,                0.86171,                0.69761,                0.73428,                0.54892,                0.62936,                0.35564,                 0.8281,             0.00021471,             0.00021471,             0.00021471
                     46,                0.58103,                0.30549,                0.80964,                0.86365,                0.70761,                 0.7401,                0.55242,                0.62223,                0.35511,                0.82818,              0.0001817,              0.0001817,              0.0001817
                     47,                0.57539,                0.30238,                0.80899,                0.85665,                0.71482,                 0.7443,                0.55456,                0.62746,                0.35579,                0.83071,              0.0001487,              0.0001487,              0.0001487
                     48,                0.57574,                0.30062,                0.80823,                0.88587,                0.71084,                0.74909,                 0.5609,                0.61824,                0.34481,                0.82651,             0.00011569,             0.00011569,             0.00011569
                     49,                0.57268,                0.29838,                0.80833,                0.87239,                0.71866,                0.75258,                0.55804,                0.64227,                0.36027,                0.83222,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.56987,                0.29639,                0.80721,                 0.8746,                0.72089,                0.75363,                0.55999,                0.63376,                0.35272,                0.82934,             4.9677e-05,             4.9677e-05,             4.9677e-05
